x,y,z,qx,qy,qz,qw
2.907,-0.971,0.000,0.000,0.000,0.707,0.707
2.736,3.029,0.000,0.000,0.000,1.000,0.000
-0.007,3.057,0.000,0.000,0.000,0.632,0.775
0.093,5.043,0.000,0.000,0.000,0.102,0.995
